transaction_id,employee_id,punch_datetime,device_no,status,mandt,P_Day,ISManual,data_flag,record_datetime
9992178,13000763,2023-12-07T10:13:19,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992179,13000760,2023-12-07T10:13:58,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992180,13000583,2023-12-07T10:16:20,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992181,13991375,2023-12-07T10:51:00,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992182,13000427,2023-12-07T11:10:36,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9992183,13000186,2023-12-07T11:12:53,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992184,13991430,2023-12-07T11:13:01,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992185,13991446,2023-12-07T11:17:12,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992186,13000748,2023-12-07T11:22:18,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992187,13991415,2023-12-07T12:17:22,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992188,13000679,2023-12-07T12:47:14,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992189,13000321,2023-12-07T12:56:15,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992190,13000731,2023-12-07T13:00:45,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9992191,13000075,2023-12-07T13:07:20,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992192,13000585,2023-12-07T13:08:28,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992193,13000031,2023-12-07T13:09:41,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992194,13991423,2023-12-07T13:10:16,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992195,13000756,2023-12-07T13:11:57,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992196,13000676,2023-12-07T13:14:33,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992197,13991460,2023-12-07T13:23:29,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992198,13991460,2023-12-07T13:27:33,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992199,13000759,2023-12-07T13:33:05,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992200,13991307,2023-12-07T14:01:15,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992201,13000014,2023-12-07T14:19:42,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992202,13000427,2023-12-07T18:37:12,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9992203,13000735,2023-12-07T19:06:24,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992204,13000764,2023-12-07T19:06:49,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992205,13000758,2023-12-07T19:08:32,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992206,13000023,2023-12-07T19:29:51,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992207,13991462,2023-12-07T19:59:27,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992208,13000583,2023-12-07T20:03:50,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992209,13000085,2023-12-07T20:14:54,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992210,13000748,2023-12-07T20:18:47,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992211,13000186,2023-12-07T20:47:11,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992212,13991374,2023-12-07T20:49:06,41,01,300,N,N,API,2023-12-15 11:36:57.819639
9992213,13000753,2023-12-07T20:49:40,41,01,300,N,N,API,2023-12-15 11:36:57.819639
9992214,13991446,2023-12-07T21:02:44,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992215,13991430,2023-12-07T21:02:48,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992216,13991415,2023-12-07T21:58:43,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992217,13000756,2023-12-07T22:06:01,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992218,13000679,2023-12-07T22:13:31,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992219,13000731,2023-12-07T22:17:30,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9992220,13991460,2023-12-07T22:21:02,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992221,13000759,2023-12-07T22:21:50,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992222,13000585,2023-12-07T22:52:59,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992223,13000393,2023-12-07T23:06:27,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992224,13000676,2023-12-07T23:42:55,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992225,13991307,2023-12-07T23:43:13,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992226,13000014,2023-12-07T23:44:12,27,01,300,N,N,API,2023-12-15 11:36:57.819639
